#;Player;Score;Kills;Death;Damage;Map Count;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0;First Place;Second Place;Third Place;Earnings
648.0;F1KU;5.9;0.63;0.67;71.41;370.0;['og', 'ago'];898.0;24064.0;52.0;1.0;1.0;7.0;10.0;11.0;$127,400
;FANAT ROCKA;;;;;;['unique', 'quantum-bellator-fire', 'space-jam'];465.0;12150.0;453.0;1.06;1.02;;;;
317.0;FASHR;6.1;0.68;0.67;75.67;265.0;['lyngby-vikings', 'ecstatic', 'fnatic', 'defusekids'];957.0;25370.0;624.0;1.04;1.03;17.0;8.0;12.0;$107,122
;FIOURN;;;;;;['invictus', 'roar', '8easy'];242.0;6258.0;-596.0;0.87;0.89;;;;
88.0;FL1T;6.3;0.7;0.64;81.1;448.0;['virtuspro', 'forze'];1503.0;39936.0;3299.0;1.13;1.07;19.0;18.0;12.0;$456,673
121.0;FL4MUS;6.3;0.72;0.68;77.51;78.0;;;;;;;;;;
;FNS;;;;;;['clg', 'tsm'];953.0;25080.0;-1794.0;0.89;0.89;10.0;8.0;17.0;$120,430
103.0;FORSYY;6.3;0.72;0.59;74.32;147.0;;;;;;;;;;
342.0;FRANSSON;6.1;0.67;0.65;75.79;138.0;['prospects', 'aura'];434.0;11806.0;209.0;1.03;1.01;;;;
;FREDDyFROG;;;;;;['chaos', 'red-reserve', 'apeks', 'japaleno', 'galaxy-racer'];1208.0;32176.0;3606.0;1.18;1.11;;;;
607.0;FaNg;5.9;0.65;0.69;71.88;279.0;['extra-salt', 'complexity'];870.0;22419.0;543.0;1.04;1.01;12.0;13.0;8.0;$105,711
;Fadey;;;;;;['atk', 'bravado'];847.0;21801.0;-438.0;0.97;0.98;42.0;17.0;6.0;$63,427
471.0;FalleN;6.0;0.64;0.61;66.55;409.0;['sk', 'mibr', 'luminosity', 'imperial'];1817.0;47354.0;4069.0;1.14;1.06;48.0;22.0;34.0;$1,190,188
268.0;Farlig;6.1;0.69;0.63;69.16;320.0;['copenhagen-flames', 'astralis', 'funplus-phoenix', 'godsent'];881.0;23711.0;2149.0;1.14;1.08;;;;
;FeTiSh;;;;;;['dignitas', 'cph-wolves'];239.0;6057.0;-580.0;0.86;0.86;;;;
166.0;Fessor;6.2;0.72;0.71;82.26;142.0;['astralis-talent', 'endpoint', 'monte'];488.0;13085.0;383.0;1.04;1.03;;;;
;Fifflaren;;;;;;['ninjas-in-pyjamas'];538.0;13220.0;-40.0;0.99;0.94;42.0;15.0;10.0;$125,172
741.0;FinigaN;5.8;0.6;0.65;68.64;51.0;['espada'];615.0;16362.0;103.0;1.01;0.97;;;;
;Flarich;;;;;;['hellraisers', 'pro100'];1088.0;29007.0;1816.0;1.1;1.04;;;;
124.0;Flayy;6.3;0.73;0.64;72.59;126.0;['rebels', 'thunderflash', 'anonymo'];234.0;6068.0;330.0;1.08;1.04;;;;
;FlipiN;;;;;;['x6tence', 'overgaming'];256.0;6542.0;-242.0;0.95;0.95;;;;
218.0;Forester;6.2;0.69;0.66;76.59;395.0;['entropiq', 'dreameaters', 'hard-legion', '1win'];1513.0;40154.0;1425.0;1.05;1.03;19.0;12.0;25.0;$175,729
366.0;Forleks;6.1;0.68;0.68;74.91;34.0;;;;;;;;;;
498.0;FpSSS;6.0;0.67;0.65;69.44;83.0;['insilio', '1shot', 'grond', 'tag'];398.0;10250.0;811.0;1.12;1.06;;;;
415.0;Fr3nk1e;6.0;0.68;0.7;74.98;81.0;['onet4p', 'timbermen', 'badass'];299.0;7416.0;-172.0;0.97;0.97;;;;
769.0;FreeZe;5.8;0.62;0.72;74.41;293.0;['alternate-attax'];577.0;14638.0;-1457.0;0.86;0.88;;;;
;Freeman;;;;;;['vici', 'tyloo'];837.0;21474.0;2332.0;1.17;1.11;19.0;7.0;7.0;$86,654
;Friis;;;;;;['sk', 'fnatic', 'heroic', 'tricked'];938.0;24254.0;747.0;1.05;1.01;31.0;24.0;19.0;$117,774
;FrostMisty;;;;;;['recca', 'nxl'];376.0;9498.0;411.0;1.07;1.03;;;;
;FrostayK;;;;;;['bushido-boyz', 'azio', 'the-quest', 'station7', 'keep-the-comms-up'];308.0;7957.0;-770.0;0.86;0.86;;;;
;FugLy;;;;;;['nrg', 'liquid', 'envy'];1083.0;28153.0;621.0;1.03;1.01;9.0;10.0;10.0;$197,457
;Fuks;;;;;;['ldlc-white', 'ares', 'maxisaucisse'];276.0;7246.0;-549.0;0.89;0.9;;;;
818.0;Furlan;5.8;0.61;0.73;72.03;108.0;['ago'];2276.0;60420.0;-1182.0;0.97;0.97;41.0;31.0;22.0;$275,518
;GEOHYPE;;;;;;['onetap', 'invictus-aquilas'];202.0;5239.0;-513.0;0.86;0.89;;;;
;GMX;;;;;;['epsilon', 'clan-mystik'];239.0;6187.0;-370.0;0.92;0.93;;;;
;GYZER;;;;;;['furia-academy', 'stars-horizon', 'neverest', 'wild'];255.0;6549.0;-901.0;0.8;0.83;;;;
767.0;Gabe;5.8;0.63;0.75;74.18;57.0;;;;;;;;;;
316.0;Gafolo;6.1;0.66;0.6;68.42;206.0;;;;;;;;;;
258.0;Ganginho;6.1;0.7;0.64;71.94;89.0;['iron-branch', 'sangal', 'betera'];237.0;6061.0;778.0;1.2;1.12;;;;
;GeT_RiGhT;;;;;;['ninjas-in-pyjamas'];1761.0;45379.0;4236.0;1.14;1.09;80.0;40.0;27.0;$607,224
;Geniuss;;;;;;['signature', 'beyond', 'lucid-dream'];398.0;10155.0;309.0;1.04;1.04;;;;
;Get_Jeka;;;;;;['1shot', 'tag'];232.0;6100.0;102.0;1.03;0.99;;;;
313.0;Girafffe;6.1;0.7;0.71;76.8;137.0;['verdant', 'viperio', 'umx', 'fambit', 'coalesce'];401.0;10452.0;-190.0;0.97;0.98;;;;
634.0;Gizmy;5.9;0.65;0.71;72.44;122.0;['monte', 'viperio', 'the-prodigies'];232.0;5950.0;-303.0;0.93;0.93;;;;
884.0;God6y;5.7;0.61;0.7;67.71;31.0;;;;;;;;;;
976.0;Golden;5.6;0.58;0.72;67.71;211.0;['fnatic', 'fnatic-academy', 'cloud9', 'godsent'];997.0;26008.0;-2253.0;0.88;0.9;9.0;8.0;10.0;$461,546
786.0;Gonzo;5.8;0.66;0.77;77.17;36.0;;;;;;;;;;
514.0;Goofy;6.0;0.65;0.66;73.04;324.0;['wisla-krakow', '9ine', 'pact', 'x-kom'];1533.0;41022.0;435.0;1.02;1.01;11.0;13.0;18.0;$92,756
;GooseBreeder;;;;;;['flyquest-red', 'clg-red', 'dignitas-fe', 'those-damn-canadians'];273.0;6500.0;878.0;1.21;1.13;;;;
;Gospadarov;;;;;;['navi-junior', 'quantum-bellator-fire'];336.0;8984.0;558.0;1.1;1.05;;;;
1032.0;Grashog;5.4;0.54;0.69;63.58;78.0;['500', 'honoris', 'pompa', 'ago'];253.0;6626.0;-981.0;0.79;0.81;;;;
321.0;Gratisfaction;6.1;0.67;0.66;70.94;98.0;['grayhound', 'renegades', '100-thieves', 'immunity', 'extremum'];954.0;24861.0;1631.0;1.1;1.05;5.0;9.0;12.0;$126,812
748.0;Graviti;5.8;0.63;0.71;71.63;144.0;['ldlc', 'genone'];281.0;7415.0;-565.0;0.89;0.91;;;;
358.0;Griizz;6.1;0.69;0.73;77.09;82.0;;;;;;;;;;
433.0;Grim;6.0;0.66;0.68;73.38;538.0;['complexity', 'liquid', 'triumph'];1170.0;30411.0;936.0;1.04;1.05;18.0;11.0;19.0;$239,857
;Gringo;;;;;;['ambush', 'ldlc', 'ec-brugge'];209.0;5563.0;-246.0;0.94;0.96;;;;
;Grt;;;;;;;;;;;;1.0;1.0;1.0;$66,867
988.0;GruBy;5.6;0.59;0.72;67.83;37.0;['ago', 'ungentium'];1823.0;48436.0;454.0;1.01;1.01;37.0;24.0;18.0;$167,606
600.0;Grus;5.9;0.67;0.73;71.72;43.0;['apeks', '777'];637.0;17325.0;-864.0;0.93;0.95;;;;
;GuardiaN;;;;;;['natus-vincere', 'faze'];1602.0;41970.0;4779.0;1.18;1.11;29.0;28.0;31.0;$800,993
;Gux;;;;;;;;;;;;18.0;12.0;3.0;$79,516
821.0;H4RR3;5.8;0.62;0.74;72.5;58.0;['nordavind', '777'];694.0;18646.0;-843.0;0.94;0.95;;;;
569.0;HEAP;5.9;0.65;0.68;71.79;229.0;['eyeballers', 'dignitas'];526.0;13836.0;75.0;1.01;0.99;;;;
;HECTOz;;;;;;['tricked', 'agf', 'x6tence'];354.0;9307.0;291.0;1.05;1.03;;;;
125.0;HEN1;6.3;0.67;0.57;73.53;420.0;['imperial', 'immortals', 'mibr', 'furia', 'luminosity'];1511.0;38614.0;5238.0;1.24;1.11;33.0;17.0;18.0;$313,628
710.0;HENU;5.8;0.63;0.7;73.49;136.0;['ence-academy'];376.0;9945.0;-396.0;0.94;0.94;;;;
;HOLMES;;;;;;['squared'];474.0;12379.0;-443.0;0.95;0.95;;;;
;HObbit;;;;;;['cloud9', 'gambit'];1457.0;38190.0;2345.0;1.09;1.05;29.0;14.0;20.0;$847,800
704.0;HS;5.8;0.63;0.71;74.05;38.0;['nordavind', 'penta'];1104.0;29488.0;344.0;1.02;1.02;12.0;7.0;19.0;$78,329
;HSK;;;;;;['mvp-pk', 'mvp-project', 'gosu'];540.0;13851.0;845.0;1.1;1.04;;;;
779.0;HUASOPEEK;5.8;0.64;0.66;68.71;71.0;;;;;;;;;;
;HUGH;;;;;;['chiefs', 'legacy', 'genuine'];855.0;22111.0;429.0;1.03;1.01;;;;
;HUNDEN;;;;;;['tricked', 'alternate-attax'];1578.0;41153.0;-6238.0;0.78;0.81;27.0;23.0;32.0;$100,724
;HZ;;;;;;['tyloo', 'cyberzen', 'allgamers'];500.0;12856.0;691.0;1.08;1.05;22.0;12.0;6.0;$72,387
330.0;HaZR;6.1;0.69;0.7;76.81;114.0;;;;;;;;;;
195.0;Hallzerk;6.2;0.69;0.62;70.67;301.0;;;;;;;;;;
;Happy;;;;;;['envy', 'ldlc'];1462.0;37912.0;2739.0;1.11;1.06;31.0;22.0;20.0;$489,570
897.0;Hatz;5.7;0.6;0.69;68.97;107.0;['order', 'renegades', 'kings'];1057.0;26801.0;2151.0;1.13;1.07;23.0;12.0;9.0;$72,573
1042.0;Haz4rt;5.4;0.55;0.72;64.03;38.0;;;;;;;;;;
;HeatoN;;;;;;;;;;;;22.0;4.0;6.0;$79,207
71.0;HeavyGod;6.3;0.72;0.63;79.99;277.0;['og', 'endpoint'];444.0;11571.0;938.0;1.13;1.07;;;;
;HenkkyG;;;;;;['esuba'];333.0;8798.0;-172.0;0.97;0.97;;;;
590.0;HexT;5.9;0.64;0.68;71.65;221.0;['rbg', 'evil-geniuses', 'carpe-diem'];819.0;21075.0;505.0;1.04;1.02;;;;
;Hiko;;;;;;['liquid', 'rogue'];937.0;24398.0;1532.0;1.1;1.04;8.0;14.0;13.0;$163,105
996.0;Hkta;5.5;0.57;0.72;66.62;43.0;['b8', 'ex-marlian', 'lazer-cats'];233.0;6262.0;-535.0;0.88;0.88;;;;
153.0;Hobbit;6.2;0.7;0.64;78.52;592.0;;;;;;;;;;
1047.0;HooXi;5.4;0.53;0.69;62.25;380.0;['g2', 'copenhagen-flames'];1049.0;27450.0;-3219.0;0.83;0.85;19.0;8.0;16.0;$419,936
;HugoXD;;;;;;['singularity', 'flow'];327.0;8776.0;-347.0;0.94;0.95;;;;
;Hunter;;;;;;['rugratz'];342.0;8953.0;39.0;1.01;0.99;;;;
;Hyper;;;;;;['agg', 'vexed', 'kinguin', 'izako-boars'];646.0;16949.0;-167.0;0.99;0.96;;;;
;ICY;;;;;;['amkal', 'avangar'];214.0;5466.0;704.0;1.22;1.1;;;;
45.0;INS;6.4;0.72;0.68;84.6;209.0;['renegades', 'grayhound', 'chiefs', 'order', 'tainted-minds'];1165.0;29169.0;3253.0;1.17;1.12;26.0;11.0;12.0;$94,098
399.0;ISSAA;6.0;0.66;0.64;71.49;154.0;['hellraisers', 'og'];887.0;23217.0;1491.0;1.1;1.06;8.0;7.0;8.0;$208,338
902.0;Icarus;5.7;0.62;0.69;68.8;49.0;;;;;;;;;;
808.0;IceBerg;5.8;0.63;0.76;74.27;266.0;['tricked', 'espionage'];922.0;23621.0;-2680.0;0.85;0.89;;;;
;ImpressioN;;;;;;['boot-ds', 'btrg', 'nkt', 'dreamscape'];684.0;17721.0;131.0;1.01;1.0;;;;
594.0;Impulse;5.9;0.61;0.62;64.04;43.0;['valiance', 'onyx', 'lvlup', 'resistance'];818.0;21711.0;1558.0;1.11;1.06;;;;
;InJect;;;;;;['avant', 'ground-zero', 'lucky7'];346.0;9009.0;5.0;1.0;0.98;;;;
193.0;Infinite;6.2;0.69;0.69;78.34;119.0;['party-astronauts', 'strife'];1096.0;28313.0;2174.0;1.12;1.08;21.0;19.0;7.0;$67,033
;InfrequeNt;;;;;;['athletico', 'tainted-minds', 'chiefs'];488.0;12549.0;926.0;1.11;1.07;;;;
;Insane;;;;;;['ehome', 'edg'];302.0;7871.0;-331.0;0.94;0.95;;;;
;Inzta;;;;;;['tricked', 'singularity'];754.0;19798.0;-849.0;0.94;0.94;;;;
;It's my;;;;;;['space-jam', 'quantum-bellator-fire', 'unique'];301.0;7854.0;-760.0;0.87;0.9;;;;
;IyeN;;;;;;['corvidae', 'chiefs', 'avant', 'athletico'];352.0;9102.0;239.0;1.04;1.04;;;;
191.0;J0LZ;6.2;0.69;0.7;78.23;39.0;['strife', 'ocg'];583.0;15363.0;105.0;1.01;1.0;;;;
;J1rah;;;;;;['order', 'breakaway'];803.0;20826.0;-29.0;1.0;0.98;;;;
;J3nsyy;;;;;;['masonic', 'lyngby-vikings'];584.0;15708.0;807.0;1.08;1.03;;;;
951.0;JACKZ;5.6;0.59;0.67;65.41;405.0;['g2', 'envyus-academy'];1285.0;33878.0;-414.0;0.98;0.98;16.0;20.0;20.0;$420,095
101.0;JBa;6.3;0.72;0.65;77.03;123.0;['wildcard', 'limitless', 'forsaken'];262.0;6478.0;422.0;1.1;1.07;;;;
;JD;;;;;;['madlikewizards', 'athletico', 'truckers-with-attitude', 'airborne', 'noxide'];374.0;9620.0;-1105.0;0.85;0.88;;;;
508.0;JDC;6.0;0.66;0.66;73.57;294.0;['mouz', 'mouz-nxt', 'expert', 'unicorns-of-love', '00nation'];748.0;19372.0;401.0;1.03;1.01;9.0;10.0;16.0;$135,495
540.0;JDubs;5.9;0.66;0.74;76.73;32.0;['detonate', 'mythic', 'reason'];237.0;6135.0;17.0;1.0;1.01;;;;
670.0;JIaYm;5.9;0.66;0.77;74.28;44.0;['hellraisers', 'bankapepsi', 'forward'];592.0;16039.0;-296.0;0.97;0.99;;;;
231.0;JOTA;6.2;0.69;0.64;76.76;151.0;['mibr', 'bravos', 'imperial'];650.0;16908.0;1573.0;1.15;1.08;18.0;11.0;10.0;$65,413
984.0;JT;5.6;0.57;0.7;65.5;403.0;['complexity', 'extra-salt', 'bravado', 'atk', 'cloud9'];1336.0;34406.0;-1713.0;0.93;0.93;27.0;14.0;8.0;$195,507
;JUGi;;;;;;['heroic', 'optic', 'tricked', 'north'];940.0;24427.0;2676.0;1.18;1.09;13.0;10.0;12.0;$118,003
593.0;JUST;5.9;0.64;0.66;71.41;257.0;['saw', 'offset'];1226.0;31813.0;770.0;1.04;1.01;34.0;25.0;19.0;$79,454
;JUSTCAUSE;;;;;;['maple', 'lucid-dream', 'zigma'];352.0;9064.0;-225.0;0.96;0.97;;;;
515.0;JW;6.0;0.67;0.69;71.81;494.0;['eyeballers', 'fnatic'];2405.0;63106.0;2445.0;1.06;1.04;48.0;30.0;30.0;$929,946
309.0;Jabbi;6.1;0.68;0.64;72.63;360.0;;;;;;;;;;
691.0;Jackinho;5.8;0.63;0.66;67.08;234.0;['metizport', 'fnatic'];487.0;11994.0;148.0;1.02;1.0;;;;
728.0;Jaepe;5.8;0.65;0.7;71.02;32.0;;;;;;;;;;
37.0;JamYoung;6.4;0.73;0.64;79.14;190.0;['tyloo', 'vici', 'rare-atom'];583.0;14866.0;1921.0;1.21;1.14;14.0;11.0;5.0;$75,759
408.0;Jambo;6.0;0.64;0.64;68.81;50.0;;;;;;;;;;
89.0;Jame;6.3;0.68;0.52;68.64;541.0;['virtuspro', 'avangar'];1443.0;37791.0;6369.0;1.31;1.13;28.0;13.0;9.0;$687,014
;James;;;;;;['immunity', 'dark-sided'];359.0;9287.0;-534.0;0.92;0.93;;;;
855.0;Jamppi;5.7;0.62;0.72;69.35;40.0;['sj', 'ence'];503.0;13449.0;1408.0;1.16;1.12;;;;
;Jayzwalkingz;;;;;;['fnatic-academy', 'epsilon', 'property'];330.0;8839.0;-167.0;0.97;0.96;;;;
;JazzPimp;;;;;;['recon-5', 'gaimin-gladiators', 'chococheck'];496.0;13025.0;-362.0;0.96;0.96;;;;
324.0;Jee;6.1;0.64;0.57;65.53;112.0;;;;;;;;;;
842.0;Jelo;5.7;0.62;0.71;68.83;122.0;['jano', 'sj', 'conquer'];316.0;8127.0;-562.0;0.9;0.91;;;;
327.0;Jeorge;6.1;0.67;0.67;75.58;194.0;['nouns', 'gaimin-gladiators', 'eg-black', 'evil-geniuses', 'triumph'];653.0;16778.0;706.0;1.06;1.04;;;;
972.0;Jerppa;5.6;0.61;0.77;72.82;63.0;;;;;;;;;;
764.0;Jerry;5.8;0.62;0.68;71.74;376.0;['forze'];1928.0;51745.0;-65.0;1.0;0.98;24.0;17.0;15.0;$238,376
;Jewelry;;;;;;['new4'];301.0;7711.0;-183.0;0.97;0.97;;;;
;JiNKZ;;;;;;['3dmax', 'heretics'];542.0;14411.0;-1193.0;0.88;0.89;;;;
42.0;Jimpphat;6.4;0.73;0.59;77.87;273.0;['mouz', 'mouz-nxt'];491.0;12770.0;1650.0;1.21;1.13;12.0;3.0;7.0;$130,148
;Jinxx;;;;;;['genuine', 'taboo', 'chiefs'];407.0;10684.0;305.0;1.04;1.01;;;;
;JohnOlsen;;;;;;['lucid-dream', 'beyond'];206.0;5353.0;261.0;1.07;1.06;;;;
;JonY BoY;;;;;;['gale-force', 'miami-flamingos', 'furious', 'isurus'];443.0;11326.0;322.0;1.04;1.02;;;;
;JonahP;;;;;;['final-feature', 'bushido-boyz', 'station7', 'keep-the-comms-up'];236.0;6098.0;10.0;1.0;1.0;;;;
629.0;Jonji;5.9;0.63;0.76;77.19;179.0;['bad-news-bears', 'rise-nation', 'chaos'];1202.0;30923.0;-859.0;0.96;0.97;29.0;20.0;11.0;$121,227
;JoshRT;;;;;;['prospects', 'infamous'];290.0;7432.0;-804.0;0.85;0.88;;;;
221.0;Junior;6.2;0.69;0.59;69.65;370.0;;;;;;;;;;
286.0;Jyo;6.1;0.67;0.65;75.08;186.0;['nemiga'];1415.0;37546.0;1281.0;1.05;1.02;;;;
573.0;Jz;5.9;0.65;0.67;72.87;113.0;;;;;;;;;;
942.0;K1-FiDa;5.6;0.58;0.66;65.34;133.0;['eclot'];607.0;15802.0;-1222.0;0.88;0.89;;;;
;KAB0M;;;;;;['dendd', 'property', 'aligon', 'greyface'];235.0;6154.0;320.0;1.08;1.04;;;;
82.0;KAISER;6.3;0.7;0.63;74.02;79.0;['furious', '9z-academy'];211.0;5454.0;327.0;1.09;1.04;;;;
;KAPARZO;;;;;;['esuba'];234.0;6048.0;-74.0;0.98;0.98;;;;
1001.0;KD69z;5.5;0.59;0.73;65.5;38.0;;;;;;;;;;
85.0;KENSI;6.3;0.72;0.65;80.6;496.0;['aurora', 'forze'];1000.0;26113.0;1587.0;1.09;1.05;14.0;10.0;14.0;$101,940
188.0;KEi;6.2;0.72;0.7;81.22;272.0;['9ine', 'avez', 'anonymo'];1048.0;27909.0;929.0;1.05;1.05;12.0;8.0;12.0;$65,569
;KHRN;;;;;;['sj', 'havu'];935.0;24443.0;-245.0;0.98;0.97;;;;
;KHTEX;;;;;;['paquet', 'wild', 'virtue'];628.0;16208.0;867.0;1.08;1.04;;;;
;KILLDREAM;;;;;;['alientech', 'k1ck', 'giants'];429.0;11159.0;-16.0;1.0;1.0;;;;
;KQLY;;;;;;['ldlc', 'titan', 'clan-mystik'];250.0;6394.0;524.0;1.12;1.09;;;;
396.0;KRIMZ;6.0;0.66;0.65;73.94;452.0;['fnatic'];2031.0;53193.0;3258.0;1.1;1.05;41.0;20.0;23.0;$976,993
;KS;;;;;;['reason', 'unknown', 'goldengitte', 'forcebuy'];238.0;6134.0;-129.0;0.97;0.96;;;;
32.0;KSCERATO;6.4;0.71;0.59;79.13;527.0;['furia'];1140.0;29412.0;4538.0;1.27;1.14;21.0;16.0;16.0;$354,254
;KUN;;;;;;['fusion', 'boca-juniors', 'sinisters', '9z'];242.0;6329.0;-149.0;0.97;0.98;;;;
392.0;KWERTZZ;6.0;0.69;0.68;75.35;199.0;['sinners', 'entropiq-prague'];382.0;9809.0;36.0;1.01;1.0;;;;
369.0;KaiR0N-;6.1;0.69;0.71;76.28;236.0;['betboom', 'ex-ethereal', 'aurora'];445.0;11248.0;172.0;1.02;1.03;;;;
;Kairi;;;;;;['x6tence', 'penta'];407.0;10374.0;-236.0;0.97;0.96;;;;
170.0;KalubeR;6.2;0.71;0.68;79.38;166.0;['partizan', 'fate', 'skade', '500'];630.0;16774.0;429.0;1.04;1.02;;;;
497.0;Kamion;6.0;0.67;0.72;77.82;115.0;['pera', 'onyx', 'domination'];252.0;6088.0;59.0;1.01;1.01;;;;
;Kapio;;;;;;;;;;;;15.0;13.0;6.0;$100,212
;Karsa;;;;;;['flash', 'onethree', 'ehome'];461.0;11782.0;-319.0;0.96;0.94;;;;
;Karus;;;;;;['fnatic-academy', 'team5'];206.0;5399.0;-272.0;0.93;0.95;;;;
257.0;Kaze;6.1;0.67;0.58;67.79;190.0;;;;;;;;;;
;Keiti;;;;;;['mythic'];214.0;5699.0;223.0;1.05;1.06;;;;
873.0;Keoz;5.7;0.62;0.71;69.24;250.0;['syman', 'ldlc', 'gamerlegion', 'k23'];1086.0;28557.0;-1196.0;0.94;0.95;11.0;13.0;15.0;$144,512
;Kevve;;;;;;['fnatic-rising', 'team5', 'rogue-academy'];236.0;6399.0;-828.0;0.81;0.83;;;;
424.0;Kind0;6.0;0.66;0.67;74.96;106.0;['4glory', 'ination'];445.0;11732.0;-150.0;0.98;0.97;;;;
;KingZ;;;;;;;;;;;;20.0;12.0;8.0;$62,846
;Kirby;;;;;;['nfaculty', 'playing-ducks', 'unicorns-of-love', 'divizon'];358.0;9126.0;-803.0;0.88;0.9;;;;
442.0;Kiro;6.0;0.64;0.6;67.72;30.0;;;;;;;;;;
781.0;Kjaerbye;5.8;0.61;0.66;69.88;99.0;['north', 'dignitas', 'astralis'];1557.0;40988.0;2084.0;1.08;1.04;18.0;11.0;24.0;$625,500
1060.0;Klameczka;5.2;0.53;0.76;65.98;104.0;;;;;;;;;;
;Kntz;;;;;;['alpha-red', 'beyond', 'nkt', 'nspr'];552.0;14299.0;670.0;1.07;1.03;;;;
148.0;Koala;6.2;0.71;0.61;76.11;126.0;;;;;;;;;;
;Koshak;;;;;;['invictus', '8easy', 'hard4u'];293.0;7737.0;110.0;1.02;1.01;;;;
422.0;Krabeni;6.0;0.69;0.73;78.25;30.0;;;;;;;;;;
628.0;Krad;5.9;0.64;0.68;73.64;467.0;['entropiq', 'dreameaters', 'forze', 'hard-legion'];1607.0;42381.0;323.0;1.01;1.0;15.0;16.0;26.0;$176,437
158.0;Krimbo;6.2;0.68;0.59;74.19;459.0;['big', 'big-academy', 'alternate-attax'];758.0;19927.0;1887.0;1.16;1.08;14.0;11.0;7.0;$164,629
674.0;Kristou;5.9;0.64;0.66;67.15;169.0;['agf', 'astralis-talent'];720.0;18993.0;-357.0;0.97;0.97;;;;
;KrizzeN;;;;;;['avangar', 'winstrike'];763.0;20020.0;-368.0;0.97;0.95;18.0;11.0;3.0;$76,241
785.0;Krs7N;5.8;0.62;0.72;70.06;32.0;;;;;;;;;;
900.0;KukuBambo;5.7;0.62;0.72;72.22;31.0;;;;;;;;;;
79.0;Kursy;6.3;0.72;0.64;73.5;30.0;;;;;;;;;;
21.0;Kvem;6.5;0.77;0.7;87.58;114.0;['ikla', 'run-or-die', 'iron-branch'];379.0;9837.0;692.0;1.1;1.09;;;;
;Kvik;;;;;;['quantum-bellator-fire', 'winstrike'];785.0;20509.0;-688.0;0.95;0.96;;;;
87.0;Kye;6.3;0.73;0.65;79.76;119.0;;;;;;;;;;
419.0;Kylar;6.0;0.67;0.65;72.18;313.0;['9ine', 'avez', 'anonymo'];1016.0;26954.0;736.0;1.04;1.02;4.0;7.0;11.0;$65,643
967.0;Kyojin;5.6;0.58;0.66;64.57;175.0;['vitality', 'falcons', 'mixfits'];269.0;7175.0;-315.0;0.93;0.93;4.0;5.0;4.0;$118,551
;L!nKz^;;;;;;['isurus', 'malvinas', 'andes', 'force-of-nature'];213.0;5606.0;408.0;1.11;1.06;;;;
;L1NK;;;;;;['vexed', 'london', 'wind-and-rain'];213.0;5525.0;14.0;1.0;0.99;;;;
975.0;LEARSI;5.6;0.58;0.7;65.73;86.0;['fluffy-aimers', 'eros', '1-jin'];293.0;7622.0;-473.0;0.91;0.91;;;;
;LEEROY;;;;;;['rejected', 'hafnet', 'all-knights'];253.0;6585.0;147.0;1.03;1.03;;;;
;LEGIJA;;;;;;['big', 'mouz', 'nrg'];869.0;22614.0;-1671.0;0.9;0.91;26.0;15.0;8.0;$83,712
;LETN1;;;;;;['valiance', 'binary-dragons', 'ination', 'cr4zy'];1116.0;29031.0;1135.0;1.06;1.02;24.0;17.0;7.0;$95,597
;LILMAN;;;;;;['swole-patrol', 'rush', 'nrg', 'subtle'];264.0;6925.0;-264.0;0.95;0.96;;;;
806.0;LNZ;5.8;0.6;0.65;67.2;325.0;['sangal', 'young-ninjas', 'ninjas-in-pyjamas'];602.0;15389.0;-384.0;0.96;0.95;;;;
;LOGAN;;;;;;['ldlc', 'heretics'];590.0;15692.0;-300.0;0.97;0.96;;;;
;LOMME;;;;;;['north-academy', 'tricked', 'no-problem'];623.0;16172.0;-532.0;0.95;0.94;;;;
;LONSDALE;;;;;;['legacy', 'parallax', 'avant'];368.0;9415.0;-1203.0;0.82;0.85;;;;
;LOVEYY;;;;;;['flash', 'vgcyberzen', 'vgflash'];708.0;17977.0;699.0;1.06;1.04;28.0;22.0;17.0;$102,429
784.0;LUCAS1;5.8;0.6;0.7;73.22;79.0;['immortals', 'luminosity', 'mibr', 'tempo-storm'];982.0;25330.0;-461.0;0.97;0.97;22.0;13.0;8.0;$217,725
754.0;LUMSEN;5.8;0.63;0.69;69.2;37.0;;;;;;;;;;
;LUq;;;;;;;;;;;;15.0;8.0;6.0;$96,625
;LYNXi;;;;;;['sj', 'hreds', 'conquer'];290.0;7763.0;64.0;1.01;0.99;;;;
887.0;LaX;5.7;0.6;0.68;67.61;34.0;;;;;;;;;;
730.0;Lack1;5.8;0.64;0.71;72.39;516.0;['aurora', 'entropiq', 'winstrike'];1360.0;35653.0;-704.0;0.97;0.98;15.0;12.0;16.0;$130,381
1027.0;Lambert;5.5;0.54;0.66;61.71;43.0;['ldlc', 'envyus-academy'];803.0;21208.0;-1687.0;0.88;0.88;;;;
647.0;Layner;5.9;0.63;0.62;64.72;32.0;;;;;;;;;;
;Laz;;;;;;['scarz-absolute', 'absolute'];269.0;6862.0;1148.0;1.27;1.17;;;;
469.0;Lcm;6.0;0.64;0.59;66.01;125.0;['solid', 'the-union', 'fusco-1500'];386.0;9733.0;515.0;1.09;1.01;;;;
;LeX;;;;;;['mythic', 'winterfox', 'luminosity'];463.0;11937.0;-1263.0;0.85;0.88;;;;
;Leaf;;;;;;['lucid-dream', 'maple', 'signature'];398.0;10120.0;-71.0;0.99;0.97;;;;
